Ticker,ref.date,price.adjusted,SMB,HML,RF,SP500Index
MSFT,2011/3/1,19.73856,2.54,-1.83,0.01,1325.83
MSFT,2011/4/1,20.150587,-0.38,-2.43,0,1363.61
MSFT,2011/5/1,19.443148,-0.59,-2.12,0,1345.2
MSFT,2011/6/1,20.345272,-0.12,-0.42,0,1320.64
MSFT,2011/7/1,21.440781,-1.26,-0.9,0,1292.28
MSFT,2011/8/1,20.814774,-3.05,-2.36,0.01,1218.89
MSFT,2011/9/1,19.599611,-3.31,-1.72,0,1131.42
MSFT,2011/10/1,20.96978,3.28,0.1,0,1253.3
MSFT,2011/11/1,20.142954,-0.16,-0.46,0,1246.96
MSFT,2011/12/1,20.596115,-0.59,1.63,0,1257.6
MSFT,2012/1/1,23.428478,2.04,-0.97,0,1312.41
MSFT,2012/2/1,25.181845,-1.85,0.43,0,1365.68
MSFT,2012/3/1,25.762901,-0.64,1.14,0,1408.47
MSFT,2012/4/1,25.571232,-0.42,-0.78,0,1397.91
MSFT,2012/5/1,23.311193,0.07,-1.07,0.01,1310.33
MSFT,2012/6/1,24.589525,0.67,0.62,0,1362.16
MSFT,2012/7/1,23.689232,-2.74,-0.02,0,1379.32
MSFT,2012/8/1,24.774416,0.47,1.3,0.01,1406.58
MSFT,2012/9/1,24.080822,0.5,1.6,0.01,1440.67
MSFT,2012/10/1,23.093636,-1.15,3.59,0.01,1412.16
MSFT,2012/11/1,21.540033,0.63,-0.84,0.01,1416.18
MSFT,2012/12/1,21.790461,1.48,3.51,0.01,1426.19
MSFT,2013/1/1,22.394161,0.33,0.96,0,1498.11
MSFT,2013/2/1,22.679699,-0.27,0.11,0,1514.68
MSFT,2013/3/1,23.533751,0.81,-0.19,0,1569.19
MSFT,2013/4/1,27.227087,-2.37,0.45,0,1597.57
MSFT,2013/5/1,28.707718,1.7,2.63,0,1630.74
MSFT,2013/6/1,28.610821,1.33,0.03,0,1606.28
MSFT,2013/7/1,26.374311,1.87,0.57,0,1685.73
MSFT,2013/8/1,27.666527,0.27,-2.69,0,1632.97
MSFT,2013/9/1,27.76137,2.88,-1.22,0,1681.55
MSFT,2013/10/1,29.538172,-1.53,1.25,0,1756.54
MSFT,2013/11/1,31.807125,1.29,0.32,0,1805.81
MSFT,2013/12/1,31.443193,-0.46,-0.02,0,1848.36
MSFT,2014/1/1,31.804605,0.89,-2.07,0,1782.59
MSFT,2014/2/1,32.199646,0.35,-0.31,0,1859.45
MSFT,2014/3/1,34.710533,-1.81,4.93,0,1872.34
MSFT,2014/4/1,34.210903,-4.19,1.17,0,1883.95
MSFT,2014/5/1,34.66819,-1.88,-0.13,0,1923.57
MSFT,2014/6/1,35.560883,3.09,-0.7,0,1960.23
MSFT,2014/7/1,36.805923,-4.29,0.03,0,1930.67
MSFT,2014/8/1,38.741737,0.4,-0.45,0,2003.37
MSFT,2014/9/1,39.781761,-3.71,-1.34,0,1972.29
MSFT,2014/10/1,40.288033,4.21,-1.81,0,2018.05
MSFT,2014/11/1,41.026001,-2.06,-3.09,0,2067.56
MSFT,2014/12/1,40.110374,2.49,2.27,0,2058.9
MSFT,2015/1/1,34.886097,-0.56,-3.58,0,1994.99
MSFT,2015/2/1,37.865231,0.63,-1.86,0,2104.5
MSFT,2015/3/1,35.360489,3.04,-0.37,0,2067.89
MSFT,2015/4/1,42.300385,-3.06,1.82,0,2085.51
MSFT,2015/5/1,40.752396,0.93,-1.14,0,2107.39
MSFT,2015/6/1,38.64513,2.91,-0.79,0,2063.11
MSFT,2015/7/1,40.877182,-4.17,-4.13,0,2103.84
MSFT,2015/8/1,38.093689,0.33,2.77,0,1972.18
MSFT,2015/9/1,38.996887,-2.62,0.56,0,1920.03
MSFT,2015/10/1,46.38039,-1.88,-0.46,0,2079.36
MSFT,2015/11/1,47.887066,3.6,-0.42,0,2080.41
MSFT,2015/12/1,49.212177,-2.84,-2.61,0.01,2043.94
MSFT,2016/1/1,48.866238,-3.42,2.09,0.01,1940.24
MSFT,2016/2/1,45.131851,0.73,-0.57,0.02,1932.23
MSFT,2016/3/1,49.342163,0.82,1.19,0.02,2059.74
MSFT,2016/4/1,44.553562,0.76,3.28,0.01,2065.3
MSFT,2016/5/1,47.349888,-0.17,-1.66,0.01,2096.95
MSFT,2016/6/1,46.03474,0.61,-1.48,0.02,2098.86
MSFT,2016/7/1,50.99176,2.49,-1.32,0.02,2173.6
MSFT,2016/8/1,51.693481,1.15,3.18,0.02,2170.95
MSFT,2016/9/1,52.142403,2.12,-1.24,0.02,2168.27
MSFT,2016/10/1,54.24258,-4.4,4.09,0.02,2126.15
MSFT,2016/11/1,54.550377,5.71,8.21,0.01,2198.81
MSFT,2016/12/1,56.632259,0.1,3.53,0.03,2238.83
MSFT,2017/1/1,58.919785,-1.19,-2.75,0.04,2278.87
MSFT,2017/2/1,58.30917,-2.05,-1.67,0.04,2363.64
MSFT,2017/3/1,60.386406,1.14,-3.35,0.03,2362.72
MSFT,2017/4/1,62.770344,0.73,-2.13,0.05,2384.2
MSFT,2017/5/1,64.035637,-2.57,-3.78,0.06,2411.8
MSFT,2017/6/1,63.563541,2.25,1.48,0.06,2423.41
MSFT,2017/7/1,67.040047,-1.51,-0.31,0.07,2470.3
MSFT,2017/8/1,68.948875,-1.67,-2.09,0.09,2471.65
MSFT,2017/9/1,69.056641,4.47,3.14,0.09,2519.36
MSFT,2017/10/1,77.112801,-1.94,0.2,0.09,2575.26
MSFT,2017/11/1,78.030586,-0.55,-0.03,0.08,2647.58
